group,algo,gain
0,neat,-45.96499999999999
0,neat,-24.374999999999975
0,neat,-41.97999999999998
0,neat,-44.31499999999998
0,neat,-58.75
0,neat,-29.43499999999996
0,neat,-59.329999999999984
0,neat,-34.86499999999993
0,neat,-50.73999999999997
0,neat,-42.564999999999976
1,neat,-28.31499999999994
1,neat,-76.565
1,neat,-44.79999999999997
1,neat,-49.21999999999997
1,neat,-34.43999999999997
1,neat,-28.134999999999934
1,neat,-9.739999999999924
1,neat,-20.65999999999995
1,neat,-43.37499999999995
1,neat,-50.25
0,neuro,-50.45999999999996
0,neuro,-43.65999999999995
0,neuro,-51.98999999999997
0,neuro,-38.934999999999974
0,neuro,-43.72499999999998
0,neuro,-51.82999999999996
0,neuro,-44.93499999999994
0,neuro,-27.444999999999958
0,neuro,-37.244999999999926
0,neuro,-46.65499999999996
1,neuro,-25.13499999999996
1,neuro,-69.5
1,neuro,-71.75
1,neuro,-26.344999999999963
1,neuro,-36.53999999999996
1,neuro,-47.22999999999997
1,neuro,-24.0299999999999
1,neuro,-50.05499999999999
1,neuro,-29.394999999999925
1,neuro,-54.18999999999997
